country,population
Entire Rental Unit,190
Entire Condominium,144
Entire Loft,78
Entire Residental Home,65
Private Room,62
Entire SerViced Apartment,58
Private Room In Rental Unit,54
Entire Vacation Home,48
Private Room In Condominium,46
Private Room In Hotel,44
Room In Boutique Hotel,33
Room In Hotel,30
Room In Hostel,30
Private Room In Casa Particular,27
Entire Townhouse,25
Entire Guest suite,22
Casa Particular,21
